Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Shemu_ Iodized Table Salt (500g),SHEMU,159510001,41,ETB11.00,ETB10.00,0,https://helloomarket.com/image/cache/catalog/159510001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5137
Sintayehu _ Roasted barley flour(ገንፎ),SINTAYEHU GIRMA,126810004,100,ETB107.00,ETB94.00,0,https://helloomarket.com/image/cache/catalog/126810004-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4377
Star Iodized Table Salt (600 g),Habetu koricho,0036-10001,82,ETB10.00,ETB8.00,0,https://helloomarket.com/image/cache/catalog/0036-10001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2264
Tarekegn_ White Honey,Tarekegn Alemu,100721,8,ETB281.00,ETB244.00,0,https://helloomarket.com/image/cache/catalog/mare-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=914
Tayech - Homemade Cookies 370gm,TAYECH MECHALE,146810002,99,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/146810002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4870
Tena Adam _Organic Black Cumin Spice,NEGASE WEGARI,134410008,100,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410008-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4863
Tena Iodized Table Salt (900g),ATALEL FETENE,149910001,45,ETB28.00,ETB25.00,0,https://helloomarket.com/image/cache/catalog/149910001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4947
Tenadam_ Curry Powder (60g),NEGASE WEGARI,134410009,100,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410009-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4716
Tenadam_ Turmeric Powder,NEGASE WEGARI,134410006,50,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410006-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4717
Tenadam_Spice Blend 60g (Mekelesha),NEGASE WEGARI,134410002,100,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4864
Tenadem_ Butter Seasoning Spice,NEGASE WEGARI,134410005,50,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410005-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4694
Tenadem_ Grounded Stew Spice (ማቁላያ),NEGASE WEGARI,134410001,50,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4693
Tenadem_ Pizza Seasoning,NEGASE WEGARI,134410003,50,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410003-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4695
Tigiest _Chili powder(1kg),Tigiest Debasu,120510008,29,ETB736.00,ETB640.00,0,https://helloomarket.com/image/cache/catalog/q-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3819
Tigiest _Red Lentils (1kg),Tigiest Debasu,120510005,28,ETB160.00,ETB140.00,0,https://helloomarket.com/image/cache/catalog/EE-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3823
Tigiest_ Brown Lentils (1kg ),TIGIEST DEBASU,120510007,97,ETB160.00,ETB140.00,0,https://helloomarket.com/image/cache/catalog/120510007-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3892
Tigist _bean 1kg,TIGIEST DEBASU,120510009,99,ETB136.00,ETB118.00,0,https://helloomarket.com/image/cache/catalog/120510009-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3896
Tigist_ Corn Split High Protein (1kg),Tigiest Debasu,120510012,30,ETB99.00,ETB86.00,0,https://helloomarket.com/image/cache/catalog/BB-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3826
Tigist_ Red Flax (1kg),Tigiest Debasu,120510014,27,ETB173.00,ETB150.00,0,https://helloomarket.com/image/cache/catalog/dd-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3825
Truluv All Natural Granola Bites  /225g,Truluv,173910001,74,ETB227.00,ETB198.00,0,https://helloomarket.com/image/cache/catalog/751%20(5)-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5622
Truluv-Gursha Tasty Snack (35g),Truluv,173910003,876,ETB30.00,ETB26.00,0,https://helloomarket.com/image/cache/catalog/173910001%202-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5627
Truluv-Loss Granola Outs (500g),Truluv,173910005,26,ETB390.00,ETB340.00,0,https://helloomarket.com/image/cache/catalog/173910005%201-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5623
Tsehaye_ Organic Moringa Powder,Tsehaye Dea,115810003,79,ETB222.00,ETB222.00,0,https://helloomarket.com/image/cache/catalog/115810003-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4483
Wesene _Malt Powder ( የብቅል ዱቄት),WESENE SIYUM,128810001,100,ETB107.00,ETB94.00,0,https://helloomarket.com/image/cache/catalog/128810001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4382
Wesene_ Shiny-leaf buckthorn flour (gasho),WESENE SIYUM,128810002,99,ETB142.00,ETB124.00,0,https://helloomarket.com/image/cache/catalog/128810002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4368
Wongelawit _Cardamom,Wongelawit Bisrat,100793,20,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/100793-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=929
Wongelawit – Grounded Rosemary,Wongelawit Bisrat,008010003,7,ETB36.00,ETB31.00,0,https://helloomarket.com/image/cache/catalog/008010003-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4278
Yami Granola Cereal Chocolate (325g),AMERTI LEMMA,174310001,95,ETB417.00,ETB362.00,0,https://helloomarket.com/image/cache/catalog/174310001%201-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5661
Yeshir Roasted Ground Coffee,,161910001,98,ETB517.00,ETB450.00,0,https://helloomarket.com/image/cache/catalog/161910001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5247
Yetnberesh_ pure Fenugreek powder,YETNEBERSH TADSE,127010010,100,ETB188.00,ETB164.00,0,https://helloomarket.com/image/cache/catalog/127010010-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4376
Yoly Strawberry Flavor Soft Drink (220ml),Duoley food processing PLC,116210003,2-3 Days,ETB16.00,ETB14.00,0,https://helloomarket.com/image/cache/catalog/116210003%201-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5633
Zebo Homemade Cookies (500gm),,157010001,95,ETB186.00,ETB186.00,0,https://helloomarket.com/image/cache/catalog/157010001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5126
Zelalme _ Sugar coated nut,Zelalm Mehandis,121510004,49,ETB28.00,ETB25.00,0,https://helloomarket.com/image/cache/catalog/121510004---285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3916
Zelalm_ Organic  Pumpkin Seeds,Zelalm Mehandis,121510001,11,ETB139.00,ETB121.00,0,https://helloomarket.com/image/cache/catalog/121510001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3918
